mass	form_id	proper	cycle	occurrence	latin_incipit	printed_page	ia_leaf_range	pdf_artifact_page_range	alignment_status	english
comm-s-chrysogoni-martyris	main	Collect	all	1	Adesto, Domine, supplicationibus	698	706-706	707-707	candidate	Give ear, O God. to our prayers, that we, who in all humility acknowledge the guilt of our offences, may, by the prayers of blessed Chrysogonus, thy martyr, be delivered from the burden of our sins. Thro'.
s-catharinae-virginis-martyris	main	Collect	all	1	Deus, qui dedisti legem Moysi	698	706-706	707-707	candidate	O God, who gavest the law to Moses on Mount Sinai, and didst wonderfully translate the body of blessed Catharine, thy virgin and martyr thither, by the ministry of holy angels: mercifully grant, by her merits and prayers, that we may safely come to the mount which is Christ. Who liveth.
comm-s-saturnini-martyris	main	Collect	all	1	Deus, qui nos beati Saturnini	522	530-530	531-531	candidate	O God, by whose favour we celebrate the glory of blessed Saturninus, thy Martyr: grant that we may be assisted by his merits. Thro'.
most-holy-name-of-jesus	main	Collect	all	1	Deus, qui Unigenitum	95	103-103	104-104	candidate	O God, who didst appoint thy only begotten Son the Saviour of mankind, and commandest that his name should be called JESUS: mercifully grant, that we who venerate his holy name on earth, may also enjoy his sight in heaven. Thro'.
most-holy-name-of-jesus	main	Secret	all	1	Benedictio tua, clementissime	96	104-104	105-105	candidate	May thy blessing, O most merciful God, by which every creature is enlivened and subsists, sanctify this our sacrifice, which we offer thee in honour of the name of thy Son, our Lord Jesus Christ: that it may be acceptable to the praise of thy majesty, and available to our salvation. Thro' the same.
most-holy-name-of-jesus	main	Postcommunion	all	1	Omnipotens aeterne Deus	96-97	104-105	105-106	candidate	O almighty and eternal God, who didst both create and redeem us, mercifully hear our prayers, and vouchsafe, with a pleasing and kind countenance, to receive the sacrifice of this victim of our salvation, which we have offered to thy divine majesty, in honor of the name of thy Son, our Lord Jesus Christ; that thy grace being poured on us, thro' the glorious name of Jesus, as a pledge of our eternal predestination, we may rejoice that our names are written in heaven. Thro' the same.
s-ioannis-matha-confessoris	main	Collect	all	1	Deus, qui per sanctum Joannem	557	565-565	566-566	candidate	O God, who by Holy John was pleased under thy heavenly directions to institute the Order of the Most Holy Trinity, for the redemption of captives out of the hands of the Saracens: grant, we beseech thee, that by his merits we may be delivered, by thy grace, from all captivity of both body and mind. Thro'.
comm-s-pauli-apostoli	main	Collect	all	1	Deus, qui multitudinem gentium	538	546-546	547-547	candidate	O God, who by the preaching of blessed Paul the Apostle, didst instruct the multitude of the Gentiles: grant, we beseech thee, that whilst we celebrate his memory, we may find the effects of his prayers. Thro'.
comm-s-pauli-apostoli	main	Secret	all	1	Apostoli tui Pauli precibus	539	547-547	548-548	candidate	Sanctify, O Lord, the offerings of thy people by the prayers of Paul thy apostle: that what is acceptable to thee, because by thee instituted, may become still more acceptable by his intercession.
comm-s-pauli-apostoli	main	Postcommunion	all	1	Sanctificati, Domine, salutari	540	548-548	549-549	candidate	Being sanctified, O Lord, by these saving mysteries, we pray that we may never be deprived of his intercession whom thou hast appointed our patron and guide.
s-gregorii-i-papae-confessoris-ecclesiae	main	Secret	all	1	Annue nobis, quaesumus	563	571-571	572-572	candidate	Grant, we beseech thee, O Lord, by the intercession of blessed Gregory, that this sacrifice may be beneficial to us, by the offering of which thou hast been pleased to cancel the sins of the world. Thro'.
s-gregorii-i-papae-confessoris-ecclesiae	main	Postcommunion	all	1	Deus, qui beatum Gregorium	563	571-571	572-572	candidate	O God, who didst equal blessed Gregory, thy Bishop, to the rest of thy saints in merit: mercifully grant, that as we celebrate his memory, we may also follow his example. Thro'.
comm-ss-alexandri-eventii-theoduli-martyrum	main	Secret	all	1	Super has hostias, quaesumus Domine	579	587-587	588-588	candidate	Let thy heavenly blessing, we beseech thee, O Lord, plentifully descend upon these oblations, which, through thy bounty, sanctify us and fill us with joy in the solemnity of thy saints. Thro'.
