book	chapter	verse	text	usfm
1Cor	3	4	For if one says, “Certainly, I am of Paul,” while another says, “I am of Apollo,” are you not men? But what is Apollo, and what is Paul?	NT-07_1-Corinthians
1Cor	3	5	We are only the ministers of him in whom you have believed, just as the Lord has granted to each of you.	NT-07_1-Corinthians
1Cor	3	6	I planted, Apollo watered, but God provided the growth.	NT-07_1-Corinthians
1Cor	3	7	And so, neither he who plants, nor he who waters, is anything, but only God, who provides the growth.	NT-07_1-Corinthians
1Cor	3	8	Now he who plants, and he who waters, are one. But each shall receive his proper reward, according to his labors.	NT-07_1-Corinthians
1Cor	3	9	For we are God’s assistants. You are God’s cultivation; you are God’s construction.	NT-07_1-Corinthians
1Cor	3	10	According to the grace of God, which has been given to me, I have laid the foundation like a wise architect. But another builds upon it. So then, let each one be careful how he builds upon it.	NT-07_1-Corinthians
1Cor	3	11	For no one is able to lay any other foundation, in place of that which has been laid, which is Christ Jesus.	NT-07_1-Corinthians
1Cor	3	12	But if anyone builds upon this foundation, whether gold, silver, precious stones, wood, hay, or stubble,	NT-07_1-Corinthians
1Cor	3	13	each one’s work shall be made manifest. For the day of the Lord shall declare it, because it will be revealed by fire. And this fire will test each one’s work, as to what kind it is.	NT-07_1-Corinthians
1Cor	3	14	If anyone’s work, which he has built upon it, remains, then he will receive a reward.	NT-07_1-Corinthians
1Cor	3	15	If anyone’s work is burned up, he will suffer its loss, but he himself will still be saved, but only as through fire.	NT-07_1-Corinthians
1Cor	3	16	Do you not know that you are the Temple of God, and that the Spirit of God lives within you?	NT-07_1-Corinthians
1Cor	3	17	But if anyone violates the Temple of God, God will destroy him. For the Temple of God is holy, and you are that Temple.	NT-07_1-Corinthians
1Cor	3	18	Let no one deceive himself. If anyone among you seems to be wise in this age, let him become foolish, so that he may be truly wise.	NT-07_1-Corinthians
1Cor	3	19	For the wisdom of this world is foolishness with God. And so it has been written: “I will catch the wise in their own astuteness.”	NT-07_1-Corinthians
1Cor	3	20	And again: “The Lord knows the thoughts of the wise, that they are vain.”	NT-07_1-Corinthians
1Cor	3	21	And so, let no one glory in men.	NT-07_1-Corinthians
1Cor	3	22	For all is yours: whether Paul, or Apollo, or Cephas, or the world, or life, or death, or the present, or the future. Yes, all is yours.	NT-07_1-Corinthians
1Cor	3	23	But you are Christ’s, and Christ is God’s. [ 1 Corinthians 4 ]	NT-07_1-Corinthians
1Cor	4	1	Accordingly, let man consider us to be ministers of Christ and attendants of the mysteries of God.	NT-07_1-Corinthians
1Cor	4	2	Here and now, it is required of attendants that each one be found to be faithful.	NT-07_1-Corinthians
1Cor	4	3	But as for me, it is such a small thing to be judged by you, or by the age of mankind. And neither do I judge myself.	NT-07_1-Corinthians
1Cor	4	4	For I have nothing on my conscience. But I am not justified by this. For the Lord is the One who judges me.	NT-07_1-Corinthians
1Cor	4	5	And so, do not choose to judge before the time, until the Lord returns. He will illuminate the hidden things of the darkness, and he will make manifest the decisions of hearts. And then each one shall have praise from God.	NT-07_1-Corinthians
1Cor	4	6	And so, brothers, I have presented these things in myself and in Apollo, for your sakes, so that you may learn, through us, that no one should be inflated against one person and for another, not beyond what has been written.	NT-07_1-Corinthians
1Cor	4	7	For what distinguishes you from another? And what do you have that you have not received? But if you have received it, why do you glory, as if you had not received it?	NT-07_1-Corinthians
1Cor	4	8	So, now you have been filled, and now you have been made wealthy, as if to reign without us? But I wish that you would reign, so that we, too, might reign with you!	NT-07_1-Corinthians
1Cor	4	9	For I think that God has presented us as the last Apostles, as those destined for death. For we have been made into a spectacle for the world, and for Angels, and for men.	NT-07_1-Corinthians
1Cor	4	10	So we are fools because of Christ, but you are discerning in Christ? We are weak, but you are strong? You are noble, but we are ignoble?	NT-07_1-Corinthians
1Cor	4	11	Even to this very hour, we hunger and thirst, and we are naked and repeatedly beaten, and we are unsteady.	NT-07_1-Corinthians
1Cor	4	12	And we labor, working with our own hands. We are slandered, and so we bless. We suffer and endure persecution.	NT-07_1-Corinthians
1Cor	4	13	We are cursed, and so we pray. We have become like the refuse of this world, like the reside of everything, even until now.	NT-07_1-Corinthians
1Cor	4	14	I am not writing these things in order to confound you, but in order to admonish you, as my dearest sons.	NT-07_1-Corinthians
1Cor	4	15	For you might have ten thousand instructors in Christ, but not so many fathers. For in Christ Jesus, through the Gospel, I have begotten you.	NT-07_1-Corinthians
1Cor	4	16	Therefore, I beg you, be imitators of me, just as I am of Christ.	NT-07_1-Corinthians
1Cor	4	17	For this reason, I have sent you Timothy, who is my dearest son, and who is faithful in the Lord. He will remind you of my ways, which are in Christ Jesus, just as I teach everywhere, in every church.	NT-07_1-Corinthians
1Cor	4	18	Certain persons have become inflated in thinking that I would not return to you.	NT-07_1-Corinthians
1Cor	4	19	But I will return to you soon, if the Lord is willing. And I will consider, not the words of those who are inflated, but the virtue.	NT-07_1-Corinthians
1Cor	4	20	For the kingdom of God is not in words, but in virtue.	NT-07_1-Corinthians
1Cor	4	21	What would you prefer? Should I return to you with a rod, or with charity and a spirit of meekness? [ 1 Corinthians 5 ]	NT-07_1-Corinthians
1Cor	5	1	Above all else, it is being said that there is fornication among you, even fornication of a such kind that is not among the Gentiles, so that someone would have the wife of his father.	NT-07_1-Corinthians
1Cor	5	2	And yet you are inflated, and you have not instead been grieved, so that he who has done this thing would be taken away from your midst.	NT-07_1-Corinthians
1Cor	5	3	Certainly, though absent in body, I am present in spirit. Thus, I have already judged, as if I were present, him who has done this.	NT-07_1-Corinthians
1Cor	5	4	In the name of our Lord Jesus Christ, you have been gathered together with my spirit, in the power of our Lord Jesus,	NT-07_1-Corinthians
1Cor	5	5	to hand over such a one as this to Satan, for the destruction of the flesh, so that the spirit may be saved in the day of our Lord Jesus Christ.	NT-07_1-Corinthians
1Cor	5	6	It is not good for you to glory. Do you not know that a little leaven corrupts the entire mass?	NT-07_1-Corinthians
1Cor	5	7	Purge the old leaven, so that you may become the new bread, for you are unleavened. For Christ, our Passover, has now been immolated.	NT-07_1-Corinthians
1Cor	5	8	And so, let us feast, not with the old leaven, not with the leaven of malice and wickedness, but with the unleavened bread of sincerity and truth.	NT-07_1-Corinthians
1Cor	5	9	As I have written to you in an epistle: “Do not associate with fornicators,”	NT-07_1-Corinthians
1Cor	5	10	certainly not with the fornicators of this world, nor with the greedy, nor with robbers, nor with the servants of idolatry. Otherwise, you ought to depart from this world.	NT-07_1-Corinthians
1Cor	5	11	But now I have written to you: do not associate with anyone who is called a brother and yet is a fornicator, or greedy, or a servant of idolatry, or a slanderer, or inebriated, or a robber. With such a one as this, do not even take food.	NT-07_1-Corinthians
1Cor	5	12	For what have I to do with judging those who are outside? But do not even you yourselves judge those who are inside?	NT-07_1-Corinthians
1Cor	5	13	For those who are outside, God will judge. But send this evil person away from yourselves. [ 1 Corinthians 6 ]	NT-07_1-Corinthians
1Cor	6	1	How is it that anyone of you, having a dispute against another, would dare to be judged before the iniquitous, and not before the saints?	NT-07_1-Corinthians
1Cor	6	2	Or do you not know that the saints from this age shall judge it? And if the world is to be judged by you, are you unworthy, then, to judge even the smallest matters?	NT-07_1-Corinthians
1Cor	6	3	Do you not know that we shall judge angels? How much more the things of this age?	NT-07_1-Corinthians
1Cor	6	4	Therefore, if you have matters to judge concerning this age, why not appoint those who are most contemptible in the Church to judge these things!	NT-07_1-Corinthians
1Cor	6	5	But I am speaking so as to shame you. Is there no one among you wise enough, so that he might be able to judge between his brothers?	NT-07_1-Corinthians
1Cor	6	6	Instead, brother contends against brother in court, and this before the unfaithful!	NT-07_1-Corinthians
1Cor	6	7	Now there is certainly an offense among you, beyond everything else, when you have court cases against one another. Should you not accept injury instead? Should you not endure being cheated instead?	NT-07_1-Corinthians
1Cor	6	8	But you are doing the injuring and the cheating, and this toward brothers!	NT-07_1-Corinthians
1Cor	6	9	Do you not know that the iniquitous will not possess the kingdom of God? Do not choose to wander astray. For neither fornicators, nor servants of idolatry, nor adulterers,	NT-07_1-Corinthians
1Cor	6	10	nor the effeminate, nor males who sleep with males, nor thieves, nor the avaricious, nor the inebriated, nor slanderers, nor the rapacious shall possess the kingdom of God.	NT-07_1-Corinthians
1Cor	6	11	And some of you were like this. But you have been absolved, but you have been sanctified, but you have been justified: all in the name of our Lord Jesus Christ and in the Spirit of our God.	NT-07_1-Corinthians
1Cor	6	12	All is lawful to me, but not all is expedient. All is lawful to me, but I will not be driven back by the authority of anyone.	NT-07_1-Corinthians
1Cor	6	13	Food is for the stomach, and the stomach is for food. But God shall destroy both the stomach and food. And the body is not for fornication, but rather for the Lord; and the Lord is for the body.	NT-07_1-Corinthians
1Cor	6	14	Truly, God has raised up the Lord, and he will raise us up by his power.	NT-07_1-Corinthians
1Cor	6	15	Do you not know that your bodies are a part of Christ? So then, should I take a part of Christ and make it a part of a harlot? Let it not be so!	NT-07_1-Corinthians
1Cor	6	16	And do you not know that whoever is joined to a harlot becomes one body? “For the two,” he said, “shall be as one flesh.”	NT-07_1-Corinthians
1Cor	6	17	But whoever is joined to the Lord is one spirit.	NT-07_1-Corinthians
1Cor	6	18	Flee from fornication. Every sin whatsoever that a man commits is outside of the body, but whoever fornicates, sins against his own body.	NT-07_1-Corinthians
1Cor	6	19	Or do you not know that your bodies are the Temple of the Holy Spirit, who is in you, whom you have from God, and that you are not your own?	NT-07_1-Corinthians
1Cor	6	20	For you have been bought at a great price. Glorify and carry God in your body. [ 1 Corinthians 7 ]	NT-07_1-Corinthians
1Cor	7	1	Now concerning the things about which you wrote to me: It is good for a man not to touch a woman.	NT-07_1-Corinthians
1Cor	7	2	But, because of fornication, let each man have his own wife, and let each woman have her own husband.	NT-07_1-Corinthians
