ordinal	token	file	testament	douay_title	modern_name	missal_latin_abbreviation	alternate_names
47	Matt	47-matthew.tsv	new	The Holy Gospel of Jesus Christ according to St. Matthew	Matthew	Matt.	The Holy Gospel of Jesus Christ according to St. Matthew;Matt.;Mt
48	Mark	48-mark.tsv	new	The Holy Gospel of Jesus Christ according to St. Mark	Mark	Marc.	The Holy Gospel of Jesus Christ according to St. Mark;Marc.;Mk
49	Luke	49-luke.tsv	new	The Holy Gospel of Jesus Christ according to St. Luke	Luke	Luc.	The Holy Gospel of Jesus Christ according to St. Luke;Luc.;Lk
50	John	50-john.tsv	new	The Holy Gospel of Jesus Christ according to St. John	John	Joan.	The Holy Gospel of Jesus Christ according to St. John;Joan.;Jn
51	Acts	51-acts.tsv	new	The Acts of the Apostles	Acts	Act.	The Acts of the Apostles;Act.;Acts of the Apostles
52	Rom	52-romans.tsv	new	The Epistle of St. Paul the Apostle to the Romans	Romans	Rom.	The Epistle of St. Paul the Apostle to the Romans;Rom.;Rm
53	1Cor	53-1-corinthians.tsv	new	The First Epistle of St. Paul to the Corinthians	1 Corinthians	1 Cor.	The First Epistle of St. Paul to the Corinthians;1 Cor.;1 Co
54	2Cor	54-2-corinthians.tsv	new	The Second Epistle of St. Paul to the Corinthians	2 Corinthians	2 Cor.	The Second Epistle of St. Paul to the Corinthians;2 Cor.;2 Co
55	Gal	55-galatians.tsv	new	The Epistle of St. Paul to the Galatians	Galatians	Gal.	The Epistle of St. Paul to the Galatians;Gal.;Ga
56	Eph	56-ephesians.tsv	new	The Epistle of St. Paul to the Ephesians	Ephesians	Ephes.	The Epistle of St. Paul to the Ephesians;Ephes.;Eph
57	Phil	57-philippians.tsv	new	The Epistle of St. Paul to the Philippians	Philippians	Philipp.	The Epistle of St. Paul to the Philippians;Philipp.;Php
58	Col	58-colossians.tsv	new	The Epistle of St. Paul to the Colossians	Colossians	Coloss.	The Epistle of St. Paul to the Colossians;Coloss.;Col
59	1Thess	59-1-thessalonians.tsv	new	The First Epistle of St. Paul to the Thessalonians	1 Thessalonians	1 Thess.	The First Epistle of St. Paul to the Thessalonians;1 Thess.;1 Th
60	2Thess	60-2-thessalonians.tsv	new	The Second Epistle of St. Paul to the Thessalonians	2 Thessalonians	2 Thess.	The Second Epistle of St. Paul to the Thessalonians;2 Thess.;2 Th
61	1Tim	61-1-timothy.tsv	new	The First Epistle of St. Paul to Timothy	1 Timothy	1 Tim.	The First Epistle of St. Paul to Timothy;1 Tim.;1 Tm
62	2Tim	62-2-timothy.tsv	new	The Second Epistle of St. Paul to Timothy	2 Timothy	2 Tim.	The Second Epistle of St. Paul to Timothy;2 Tim.;2 Tm
63	Tit	63-titus.tsv	new	The Epistle of St. Paul to Titus	Titus	Tit.	The Epistle of St. Paul to Titus;Tit.;Tt
64	Philem	64-philemon.tsv	new	The Epistle of St. Paul to Philemon	Philemon	Philem.	The Epistle of St. Paul to Philemon;Philem.;Phm
65	Heb	65-hebrews.tsv	new	The Epistle of St. Paul to the Hebrews	Hebrews	Hebr.	The Epistle of St. Paul to the Hebrews;Hebr.;Heb
66	James	66-james.tsv	new	The Catholic Epistle of St. James the Apostle	James	Jac.	The Catholic Epistle of St. James the Apostle;Jac.;Jas
67	1Pet	67-1-peter.tsv	new	The First Epistle of St. Peter the Apostle	1 Peter	1 Pet.	The First Epistle of St. Peter the Apostle;1 Pet.;1 P
68	2Pet	68-2-peter.tsv	new	The Second Epistle of St. Peter the Apostle	2 Peter	2 Pet.	The Second Epistle of St. Peter the Apostle;2 Pet.;2 P
69	1John	69-1-john.tsv	new	The First Epistle of St. John the Apostle	1 John	1 Joan.	The First Epistle of St. John the Apostle;1 Joan.;1 Jn
70	2John	70-2-john.tsv	new	The Second Epistle of St. John the Apostle	2 John	2 Joan.	The Second Epistle of St. John the Apostle;2 Joan.;2 Jn
71	3John	71-3-john.tsv	new	The Third Epistle of St. John the Apostle	3 John	3 Joan.	The Third Epistle of St. John the Apostle;3 Joan.;3 Jn
72	Jude	72-jude.tsv	new	The Catholic Epistle of St. Jude the Apostle	Jude	Judae	The Catholic Epistle of St. Jude the Apostle;Judae;Jud
73	Apoc	73-apocalypse.tsv	new	The Apocalypse of St. John the Apostle	Revelation	Apoc.	The Apocalypse of St. John the Apostle;Apoc.;Apocalypse; Rv
