cited_locus	resolves_to	kind	note
Gen.5.32	Gen.5.31	merged-verse	the Douay-Rheims gives no verse 32; its text stands at the end of verse 31
2Kings.13.39	2Kings.13.38	merged-verse	the Douay-Rheims gives no verse 39; its text stands at the end of verse 38
Ps.28.11	Ps.28.10	merged-verse	the Douay-Rheims gives no verse 11; its text stands at the end of verse 10
Ps.150.6	Ps.150.5	merged-verse	the Douay-Rheims gives no verse 6; its text stands at the end of verse 5
Amos.9.15	Amos.9.14	merged-verse	the Douay-Rheims gives no verse 15; its text stands at the end of verse 14
John.11.57	John.11.56	merged-verse	the Douay-Rheims gives no verse 57; its text stands at the end of verse 56
2Cor.1.24	2Cor.1.23	merged-verse	the Douay-Rheims gives no verse 24; its text stands at the end of verse 23
