cited_locus	resolves_to	kind	note
Dan.3.24		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.25		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.26		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.27		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.28		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.29		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
Dan.3.30		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Song of the Three Holy Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30, and the correspondence with the separate book is not a uniform offset, so it is not asserted
