book	chapter	verse	kind	marker	printed
Gen	47	11	prose	p	
Gen	47	13	prose	p	
Gen	47	16	prose	p	
Gen	47	17	prose	p	
Gen	47	20	prose	p	
Gen	47	25	prose	p	
Gen	47	26	prose	p	
Gen	47	27	prose	p	
Gen	47	31	prose	p	
Gen	48	8	prose	p	
Gen	48	9	prose	p	
Gen	48	10	prose	p	
Gen	48	16	poetry	q1	
Gen	48	17	prose	p	
Gen	48	19	prose	p	
Gen	49	2	poetry	q1	
Gen	49	3	poetry	q1	
Gen	49	4	poetry	q1	
Gen	49	5	poetry	q1	
Gen	49	6	poetry	q1	
Gen	49	7	poetry	q1	
Gen	49	8	poetry	q1	
Gen	49	9	poetry	q1	
Gen	49	10	poetry	q1	
Gen	49	11	poetry	q1	
Gen	49	12	poetry	q1	
Gen	49	13	poetry	q1	
Gen	49	14	poetry	q1	
Gen	49	15	poetry	q1	
Gen	49	16	poetry	q1	
Gen	49	17	poetry	q1	
Gen	49	18	poetry	q1	
Gen	49	19	poetry	q1	
Gen	49	20	poetry	q1	
Gen	49	21	poetry	q1	
Gen	49	22	poetry	q1	
Gen	49	23	poetry	q1	
Gen	49	24	poetry	q1	
Gen	49	25	poetry	q1	
Gen	49	26	poetry	q1	
Gen	49	27	poetry	q1	
Gen	49	28	prose	p	
Gen	50	4	prose	p	
Gen	50	6	prose	p	
Gen	50	7	prose	p	
Gen	50	15	prose	p	
Gen	50	22	prose	p	
Ex	1	8	prose	p	
Ex	1	15	prose	p	
Ex	1	19	prose	p	
Ex	1	20	prose	p	
Ex	2	7	prose	p	
Ex	2	8	prose	p	
Ex	2	9	prose	p	
Ex	2	10	prose	p	
Ex	2	11	prose	p	
Ex	2	13	prose	p	
Ex	2	14	prose	p	
Ex	2	15	prose	p	
Ex	2	16	prose	p	
Ex	2	19	prose	p	
Ex	2	20	prose	p	
Ex	2	21	prose	p	
Ex	2	23	prose	p	
Ex	3	4	prose	p	
Ex	3	5	prose	p	
Ex	3	7	prose	p	
Ex	3	11	prose	p	
Ex	3	12	prose	p	
Ex	3	13	prose	p	
Ex	3	14	prose	p	
Ex	4	2	prose	p	
Ex	4	3	prose	p	
Ex	4	4	prose	p	
Ex	4	5	prose	p	
Ex	4	7	prose	p	
Ex	4	8	prose	p	
Ex	4	10	prose	p	
Ex	4	11	prose	p	
Ex	4	13	prose	p	
Ex	4	14	prose	p	
Ex	4	18	prose	p	
Ex	4	19	prose	p	
Ex	4	20	prose	p	
Ex	4	24	prose	p	
Ex	4	26	prose	p	
Ex	4	27	prose	p	
Ex	4	28	prose	p	
Ex	5	2	prose	p	
Ex	5	3	prose	p	
Ex	5	4	prose	p	
Ex	5	10	prose	p	
Ex	5	15	prose	p	
Ex	5	17	prose	p	
Ex	5	19	prose	p	
Ex	5	20	prose	p	
Ex	5	22	prose	p	
Ex	6	2	prose	p	
Ex	6	9	prose	p	
Ex	6	10	prose	p	
Ex	6	12	prose	p	
Ex	6	14	prose	p	
Ex	6	28	prose	p	
Ex	6	30	prose	p	
Ex	7	6	prose	p	
Ex	7	8	prose	p	
Ex	7	10	prose	p	
Ex	7	14	prose	p	
Ex	7	20	prose	p	
Ex	8	8	prose	p	
Ex	8	9	prose	p	
Ex	8	10	prose	p	
Ex	8	11	prose	p	
Ex	8	12	prose	p	
Ex	8	16	prose	p	
Ex	8	20	prose	p	
Ex	8	25	prose	p	
Ex	8	26	prose	p	
Ex	8	28	prose	p	
Ex	8	29	prose	p	
Ex	9	8	prose	p	
Ex	9	10	prose	p	
Ex	9	13	prose	p	
Ex	9	20	prose	p	
Ex	9	22	prose	p	
Ex	9	23	prose	p	
Ex	9	27	prose	p	
Ex	9	29	prose	p	
Ex	9	31	prose	p	
Ex	10	3	prose	p	
Ex	10	7	prose	p	
Ex	10	8	prose	p	
Ex	10	9	prose	p	
Ex	10	10	prose	p	
Ex	10	12	prose	p	
Ex	10	18	prose	p	
Ex	10	21	prose	p	
Ex	10	24	prose	p	
Ex	10	25	prose	p	
Ex	10	27	prose	p	
Ex	10	29	prose	p	
Ex	11	4	prose	p	
Ex	11	9	prose	p	
Ex	12	15	prose	p	
Ex	12	21	prose	p	
Ex	12	28	prose	p	
Ex	12	29	prose	p	
Ex	12	33	prose	p	
Ex	12	37	prose	p	
Ex	12	43	prose	p	
Ex	13	3	prose	p	
Ex	13	11	prose	p	
Ex	13	17	prose	p	
Ex	14	5	prose	p	
Ex	14	10	prose	p	
Ex	14	13	prose	p	
Ex	14	15	prose	p	
Ex	14	21	prose	p	
Ex	14	26	prose	p	
Ex	15	2	poetry	q1	
Ex	15	3	poetry	q1	
Ex	15	4	poetry	q1	
Ex	15	5	poetry	q1	
Ex	15	6	poetry	q1	
Ex	15	7	poetry	q1	
Ex	15	8	poetry	q1	
Ex	15	9	poetry	q1	
Ex	15	10	poetry	q1	
Ex	15	11	poetry	q1	
Ex	15	12	poetry	q1	
Ex	15	13	poetry	q1	
Ex	15	14	poetry	q1	
Ex	15	15	poetry	q1	
Ex	15	16	poetry	q1	
Ex	15	17	poetry	q2	
Ex	15	18	poetry	q1	
Ex	15	19	prose	p	
Ex	15	22	prose	p	
Ex	15	27	prose	p	
Ex	16	4	prose	p	
Ex	16	6	prose	p	
Ex	16	13	prose	p	
Ex	16	31	prose	p	
Ex	17	3	prose	p	
Ex	17	4	prose	p	
Ex	17	5	prose	p	
Ex	17	8	prose	p	
Ex	18	7	prose	p	
Ex	18	13	prose	p	
Ex	18	15	prose	p	
Ex	18	24	prose	p	
Ex	19	7	prose	p	
Ex	19	9	prose	p	
Ex	19	14	prose	p	
Ex	19	16	prose	p	
Ex	19	21	prose	p	
Ex	19	23	prose	p	
Ex	19	24	prose	p	
Ex	19	25	prose	p	
Ex	20	3	prose	p	
Ex	20	4	prose	p	
Ex	20	7	prose	p	
Ex	20	8	prose	p	
Ex	20	12	prose	p	
Ex	20	13	prose	p	
Ex	20	14	prose	p	
Ex	20	15	prose	p	
Ex	20	16	prose	p	
Ex	20	17	prose	p	
Ex	20	18	prose	p	
Ex	20	20	prose	p	
Ex	20	22	prose	p	
Ex	21	2	prose	p	
Ex	21	7	prose	p	
Ex	21	12	prose	p	
Ex	21	15	prose	p	
Ex	21	16	prose	p	
Ex	21	17	prose	p	
Ex	21	18	prose	p	
Ex	21	20	prose	p	
Ex	21	22	prose	p	
Ex	21	26	prose	p	
Ex	21	28	prose	p	
Ex	21	33	prose	p	
Ex	21	35	prose	p	
Ex	22	5	prose	p	
Ex	22	6	prose	p	
Ex	22	7	prose	p	
Ex	22	10	prose	p	
Ex	22	14	prose	p	
Ex	22	16	prose	p	
Ex	22	18	prose	p	
Ex	22	19	prose	p	
Ex	22	20	prose	p	
Ex	22	21	prose	p	
Ex	22	22	prose	p	
Ex	22	25	prose	p	
Ex	22	28	prose	p	
Ex	22	29	prose	p	
Ex	22	30	prose	p	
Ex	22	31	prose	p	
Ex	23	2	prose	p	
Ex	23	4	prose	p	
Ex	23	6	prose	p	
Ex	23	7	prose	p	
Ex	23	8	prose	p	
Ex	23	9	prose	p	
Ex	23	10	prose	p	
Ex	23	12	prose	p	
Ex	23	13	prose	p	
Ex	23	14	prose	p	
Ex	23	18	prose	p	
Ex	23	19	prose	p	
Ex	23	20	prose	p	
Ex	24	3	prose	p	
Ex	24	4	prose	p	
Ex	24	8	prose	p	
Ex	24	9	prose	p	
