book	chapter	verse	kind	marker	printed
Gen	36	31	prose	p	pilcrow
Gen	37	5	prose	p	pilcrow
Gen	37	9	prose	p	pilcrow
Gen	37	12	prose	p	pilcrow
Gen	37	15	prose	p	pilcrow
Gen	37	23	prose	p	pilcrow
Gen	37	29	prose	p	pilcrow
Gen	37	31	prose	p	
Gen	38	12	prose	p	pilcrow
Gen	38	24	prose	p	pilcrow
Gen	38	27	prose	p	pilcrow
Gen	39	7	prose	p	pilcrow
Gen	39	13	prose	p	
Gen	39	19	prose	p	
Gen	39	21	prose	p	pilcrow
Gen	40	5	prose	p	pilcrow
Gen	40	20	prose	p	pilcrow
Gen	41	9	prose	p	pilcrow
Gen	41	14	prose	p	pilcrow
Gen	41	17	prose	p	
Gen	41	25	prose	p	pilcrow
Gen	41	33	prose	p	
Gen	41	37	prose	p	pilcrow
Gen	41	46	prose	p	pilcrow
Gen	41	53	prose	p	pilcrow
Gen	42	3	prose	p	pilcrow
Gen	42	7	prose	p	
Gen	42	21	prose	p	pilcrow
Gen	42	25	prose	p	pilcrow
Gen	42	29	prose	p	pilcrow
Gen	42	35	prose	p	pilcrow
Gen	43	11	prose	p	
Gen	43	15	prose	p	pilcrow
Gen	43	26	prose	p	pilcrow
Gen	44	6	prose	p	pilcrow
Gen	44	14	prose	p	pilcrow
Gen	44	18	prose	p	pilcrow
Gen	45	16	prose	p	pilcrow
Gen	45	25	prose	p	pilcrow
Gen	46	5	prose	p	
Gen	46	8	prose	p	pilcrow
Gen	46	10	prose	p	pilcrow
Gen	46	11	prose	p	pilcrow
Gen	46	12	prose	p	pilcrow
Gen	46	13	prose	p	pilcrow
Gen	46	14	prose	p	pilcrow
Gen	46	16	prose	p	pilcrow
Gen	46	17	prose	p	pilcrow
Gen	46	20	prose	p	pilcrow
Gen	46	21	prose	p	pilcrow
Gen	46	23	prose	p	pilcrow
Gen	46	24	prose	p	pilcrow
Gen	46	28	prose	p	pilcrow
Gen	47	11	prose	p	pilcrow
Gen	47	13	prose	p	pilcrow
Gen	47	27	prose	p	pilcrow
Gen	48	5	prose	p	pilcrow
Gen	48	8	prose	p	
Gen	48	15	prose	p	pilcrow
Gen	49	3	prose	p	pilcrow
Gen	49	5	prose	p	pilcrow
Gen	49	8	prose	p	pilcrow
Gen	49	13	prose	p	pilcrow
Gen	49	14	prose	p	pilcrow
Gen	49	16	prose	p	pilcrow
Gen	49	19	prose	p	pilcrow
Gen	49	20	prose	p	pilcrow
Gen	49	21	prose	p	pilcrow
Gen	49	22	prose	p	pilcrow
Gen	49	27	prose	p	pilcrow
Gen	49	28	prose	p	pilcrow
