book	chapter	verse	text	usfm
1Tim	4	2	speaking lies in hypocrisy, and having their consciences seared,	NT-15_1-Timothy
1Tim	4	3	prohibiting marriage, abstaining from foods, which God has created to be accepted with thanksgiving by the faithful and by those who have understood the truth.	NT-15_1-Timothy
1Tim	4	4	For every creature of God is good, and nothing is to be rejected which is received with thanksgiving;	NT-15_1-Timothy
1Tim	4	5	for it has been sanctified by the Word of God and by prayer.	NT-15_1-Timothy
1Tim	4	6	By proposing these things to the brothers, you will be a good minister of Christ Jesus, nourished by words of faith, and by the good doctrine that you have secured.	NT-15_1-Timothy
1Tim	4	7	But avoid the silly fables of old women. And exercise yourself so as to advance in piety.	NT-15_1-Timothy
1Tim	4	8	For the exercise of the body is somewhat useful. But piety is useful in all things, holding the promise of life, in the present and in the future.	NT-15_1-Timothy
1Tim	4	9	This is a faithful saying and worthy of full acceptance.	NT-15_1-Timothy
1Tim	4	10	For this reason we labor and are maligned: because we hope in the living God, who is the Savior of all men, most especially of the faithful.	NT-15_1-Timothy
1Tim	4	11	Instruct and teach these things.	NT-15_1-Timothy
1Tim	4	12	Let no one despise your youth, but be an example among the faithful in word, in behavior, in charity, in faith, in chastity.	NT-15_1-Timothy
1Tim	4	13	Until I arrive, attend to reading, to exhortation, and to doctrine.	NT-15_1-Timothy
1Tim	4	14	Do not be willing to neglect the grace that is within you, which was given to you through prophecy, with the imposition of the hands of the priesthood.	NT-15_1-Timothy
1Tim	4	15	Meditate on these things, so that your progress may be manifest to all.	NT-15_1-Timothy
1Tim	4	16	Pay attention to yourself and to doctrine. Pursue these things. For in doing so, you will save both yourself and those who listen to you. [ 1 Timothy 5 ]	NT-15_1-Timothy
1Tim	5	1	You should not rebuke an old man, but rather plead with him, as if he were your father; with young men, like brothers;	NT-15_1-Timothy
1Tim	5	2	with old women, like mothers; with young women, in all chastity, like sisters.	NT-15_1-Timothy
1Tim	5	3	Honor those widows who are true widows.	NT-15_1-Timothy
1Tim	5	4	But if any widow has children or grandchildren, let her first learn to manage her own household, and to fulfill, in turn, her own obligation to her parents; for this is acceptable before God.	NT-15_1-Timothy
1Tim	5	5	But she who is truly a widow and is destitute, let her hope in God, and let her be urgent in supplications and prayers, night and day.	NT-15_1-Timothy
1Tim	5	6	For she who is living in pleasures is dead, while living.	NT-15_1-Timothy
1Tim	5	7	And give instruction in this, so that they may be beyond reproach.	NT-15_1-Timothy
1Tim	5	8	But if anyone has no concern for his own, and especially for those of his own household, he has denied the faith, and he is worse than an unbeliever.	NT-15_1-Timothy
1Tim	5	9	Let a widow be chosen who is no less than sixty years of age, who was the wife of one husband,	NT-15_1-Timothy
1Tim	5	10	who has testimony of her good works: whether she has educated children, or has provided hospitality, or has washed the feet of the saints, or has ministered to those suffering tribulation, or has pursued any kind of good work.	NT-15_1-Timothy
1Tim	5	11	But avoid the younger widows. For once they have flourished in Christ, they will want to marry,	NT-15_1-Timothy
1Tim	5	12	resulting in damnation, because they have disregarded the primacy of faith.	NT-15_1-Timothy
1Tim	5	13	And being at the same time also idle, they learn to go from house to house, being not only idle, but also talkative and curious, speaking of things which do not concern them.	NT-15_1-Timothy
1Tim	5	14	Therefore, I want the younger women to marry, to procreate children, to be mothers of families, to provide no ready opportunity for the adversary to speak evil.	NT-15_1-Timothy
1Tim	5	15	For certain ones have already been turned back to Satan.	NT-15_1-Timothy
1Tim	5	16	If any among the faithful have widows, let him minister to them and not burden the Church, so that there may be enough for those who are true widows.	NT-15_1-Timothy
1Tim	5	17	Let priests who lead well be held worthy of twice the honor, especially those who labor in the Word and in doctrine.	NT-15_1-Timothy
1Tim	5	18	For Scripture says: “You shall not muzzle an ox as it is treading out the grain,” and, “The worker is worthy of his pay.”	NT-15_1-Timothy
1Tim	5	19	Do not be willing to accept an accusation against a priest, except under two or three witnesses.	NT-15_1-Timothy
1Tim	5	20	Reprove sinners in the sight of everyone, so that the others may have fear.	NT-15_1-Timothy
1Tim	5	21	I testify before God and Christ Jesus and the elect Angels, that you should observe these things without prejudgment, doing nothing which shows favoritism to either side.	NT-15_1-Timothy
1Tim	5	22	You should not be quick to impose hands on anyone, nor should you take part in the sins of outsiders. Keep yourself chaste.	NT-15_1-Timothy
1Tim	5	23	Do not continue to drink only water, but make use of a little wine, for the sake of your stomach and your frequent infirmities.	NT-15_1-Timothy
1Tim	5	24	The sins of some men have been made manifest, preceding them to judgment, but those of others are manifested later.	NT-15_1-Timothy
