seq	element_key	text
1	ecce-agnus-dei	The Priest genuflects, takes the host and, holding it slightly raised above the paten or above the chalice, while facing the people, sings aloud:
2	ecce-agnus-dei	Behold the Lamb of God,
3	ecce-agnus-dei	behold him who takes away the sins of the world.
4	ecce-agnus-dei	Blessed are those called to the supper of the Lamb.
5	ecce-agnus-dei	And together with the people he adds once:
6	ecce-agnus-dei	Lord, I am not worthy
7	ecce-agnus-dei	that you should enter under my roof,
8	ecce-agnus-dei	but only say the word
9	ecce-agnus-dei	and my soul shall be healed.
